"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","OBSERVATION.COUNT","BREEDING.BIRD.ATLAS.CODE","BREEDING.BIRD.ATLAS.CATEGORY","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","X"
"1","URN:CornellLabOfOrnithology:EBIRD:OBS232649160","2018-08-05 12:03:30",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","Wisconsin","US-WI","Manitowoc","US-WI-071","",23,"","","Collins Marsh area","L2576999","P",44.0857947,-87.9711342,"1999-04-10","08:00:00","obsr311805","S16800210","Traveling","P22","EBIRD",240,56.327,NA,2,1,"",0,1,0,NA,"","",NA
"2","URN:CornellLabOfOrnithology:EBIRD:OBS331858385","2018-08-03 09:39:09",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"40","","","","Canada","CA","Alberta","CA-AB","Calgary","CA-AB-SI","",11,"","","Rocky Ridge Rd, Hwy1A-AspenDr,NW Calgary","L3716671","P",51.15422,-114.2576,"1994-08-16","09:40:00","obsr570137","S24272389","Historical","P62","EBIRD",390,NA,NA,1,1,"",0,1,0,NA,"CFNS trip number,940221-1,Observers : Jamieson,J.L, Original location description - Rocky Ridge Rd,Hwy1A-Aspen Dr,NW Calgary","",NA
"3","URN:CornellLabOfOrnithology:EBIRD:OBS419884057","2018-08-06 17:53:53",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"3","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago","L265942","H",41.781201,-87.5813341,"1981-09-19","05:55:00","obsr95523","S30831962","Historical","P62","EBIRD",160,NA,NA,2,1,"",0,1,0,NA,"Historical data transcribed from my hand-written field notes and uploaded to eBird in 2016. Areas surveyed: JACKSON PARK, CHICAGO: Wooded Island / Bobolink Meadow area; 63rd St. Beach; Inner / Outer Harbors; see separate checklists from subsites for additional species comments. Start / end times: 05:55 to 08:35. Routing: 05:55-07:20 with Harriet W. Rylaarsdam: 63rd St. Beach; 07:20-07:35: north bank of Inner Harbor; 07:35-08:35 with Harriet W. Rylaarsdam: Soccer Field, Bobolink Meadow, Music Court; North Lagoon (east bank). Clear; 05:00 readings: 51ºF, winds SW 12 mph.","",NA
"4","URN:CornellLabOfOrnithology:EBIRD:OBS534102024","2018-08-06 17:51:44",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"2","","","","Canada","CA","Quebec","CA-QC","Rimouski-Neigette","CA-QC-RM","",14,"","","Rivière Rimouski","L2821095","P",48.2639374,-68.7194824,"1999-07-23","","obsr508364","S39272567","Historical","P62","EBIRD_QC",45,NA,NA,1,1,"",0,1,0,NA,"Feuillet d'ÉPOQ no 596815. Observateur : Rita St-Laurent.","",NA
"5","URN:CornellLabOfOrnithology:EBIRD:OBS637563414","2018-07-06 15:11:49",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","United States","US","Ohio","US-OH","Sandusky","US-OH-143","US-OH_2044",22,"","","I-80 at Rt 53","L7675456","P",41.3999439,-83.1064302,"1960-07-29","15:10:00","obsr227449","S47028159","Traveling","P22","EBIRD",30,6,NA,2,1,"",0,1,0,NA,"","",NA
"6","URN:CornellLabOfOrnithology:EBIRD:OBS139414801","2012-02-16 08:47:37",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"X","","","","United States","US","New Jersey","US-NJ","Sussex","US-NJ-037","US-NJ_3126",28,"","","Stokes SF","L1417660","P",41.2248119,-74.7421143,"1996-03-31","","obsr90926","S9843344","Incidental","P20","EBIRD",NA,NA,NA,NA,0,"G356486",0,1,0,NA,"","",NA
"7","URN:CornellLabOfOrnithology:EBIRD:OBS268003952","2018-08-03 09:08:47",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","United States","US","Pennsylvania","US-PA","Crawford","US-PA-039","US-PA_1128",13,"USFWS_626","","Erie NWR","L1242778","H",41.609376,-79.9720573,"1978-04-28","08:30:00","obsr225095","S19493405","Traveling","P22","EBIRD",180,4.828,NA,1,0,"",0,1,0,NA,"","",NA
"8","URN:CornellLabOfOrnithology:EBIRD:OBS729754967","2019-03-26 18:59:16",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"1","","","","Canada","CA","Yukon Territory","CA-YT","Yukon","CA-YT-YT","",4,"","","Whitehorse--Porter Creek--1402 Elm Street","L986331","H",60.7660845,-135.1382384,"1995-09-22","","obsr30649","S54258546","Historical","P62","EBIRD",NA,NA,NA,2,1,"G3984021",0,1,0,NA,"Observers: CDE, PHS","",NA
"9","URN:CornellLabOfOrnithology:EBIRD:OBS349480036","2018-08-03 13:55:39",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"6","","","","United States","US","Illinois","US-IL","Cook","US-IL-031","US-IL_1688",22,"","","Jackson Park, Chicago--Wooded Island/Bobolink Meadow area","L152740","H",41.7857131,-87.5829649,"1996-10-09","07:15:00","obsr95523","S25524521","Historical","P62","EBIRD",155,NA,NA,1,1,"",0,1,0,NA,"Mostly sunny; 39-46ºF; winds N 7-10 mph. Sunrise 06:57 a.m.  Site includes data west of Lake Shore Drive to Stony Island Ave. and north of Hayes Drive to 56th St.  TOTALS ENTERED HERE ARE INCLUDED IN COMPOSITE JACKSON PARK, CHICAGO, CHECKLIST FOR THIS DATE, q.v. FOR COMPLETE SPECIES CHECKLIST. Entire route on foot. Uploaded to eBird Oct 2015. [Routing: 07:15 X57-55 P L56 07:55 V VE ME MM 08:15 BM BE BD BE 09:10 SE 09:30 T SW 10:10 R IE IW UE UN X59-57 11:00. HOURS AT SITE FOR THIS CHECKLIST = 07:15-07:20 & 07:55-09:30 & 10:05-11:00] FOR EXPLANATION OF THE ROUTING SHORTHAND AND NOTES ON SUB-SITES SEE: http://ebird.org/ebird/view/checklist?subID=S25360919","",NA
"10","URN:CornellLabOfOrnithology:EBIRD:OBS466206585","2019-07-23 13:27:55",21132,"species","Black-capped Chickadee","Poecile atricapillus",NA,NA,"2","","","","Canada","CA","Quebec","CA-QC","Rimouski-Neigette","CA-QC-RM","CA-QC_041",14,"","","Pointe-au-Père","L4996380","P",48.51667,-68.46667,"1986-04-21","04:40:00","obsr179756","S34406294","Traveling","P22","EBIRD_QC",200,7,NA,1,1,"",0,1,0,NA,"Doux, 3 à 10 Celsius, couvert, un peu de pluie, vents Sud 15 km/h--Feuillet d'ÉPOQ no 92434. Observateur : Yves Gauthier.","",NA
